model,sampling_method,remove_outliers,best_cv_score,best_params,train_f1_macro,test_f1_macro,test_accuracy,train_test_diff,roc_auc,cv_mean_train_f1_macro,cv_std_train_f1_macro,cv_mean_val_f1_macro,cv_std_val_f1_macro,cv_diff_train_val_f1_macro,cv_mean_val_bal_acc,cv_std_val_bal_acc,mean_fit_time,std_fit_time,test_f1_class_0.0,test_f1_class_1.0,test_f1_class_2.0,test_f1_class_3.0,test_f1_class_4.0,train_f1_class_0.0,train_f1_class_1.0,train_f1_class_2.0,train_f1_class_3.0,train_f1_class_4.0
LogisticRegression,SMOTEENN,False,0.4779,"{""classifier__C"": 4.0428727350273315, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",0.4809,0.4717,0.6617,0.0092,0.9151,0.4838,0.0026,0.4779,0.0037,0.0059,0.7731,0.0105,1780.6165,16.6903,0.7657,0.2338,0.4073,0.1541,0.7977,0.7673,0.2533,0.4238,0.154,0.8063
LogisticRegression,RandomOverSampler,False,0.4843,"{""classifier__C"": 1.40779231399724, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",0.489,0.479,0.6754,0.0099,0.916,0.4891,0.0016,0.4843,0.0046,0.0048,0.7753,0.0096,384.8059,14.7653,0.7786,0.2363,0.4203,0.1506,0.8095,0.7791,0.262,0.4283,0.153,0.8224
LogisticRegression,SMOTE,False,0.4837,"{""classifier__C"": 3.584985580340472, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",0.4875,0.4774,0.6719,0.01,0.9153,0.49,0.0023,0.4837,0.0037,0.0063,0.773,0.0104,296.5365,4.5627,0.7747,0.2393,0.4118,0.1556,0.8058,0.777,0.2615,0.4281,0.156,0.8147
LogisticRegression,ADASYN,False,0.3398,"{""classifier__C"": 493.52962094021007, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",0.3398,0.3323,0.4586,0.0075,0.8608,0.3457,0.0029,0.3398,0.002,0.0059,0.6449,0.0088,779.7343,73.4381,0.5746,0.1246,0.2829,0.1031,0.5763,0.5753,0.1312,0.2934,0.1068,0.5924
LogisticRegression,SMOTETomek,False,0.4838,"{""classifier__C"": 1.9066091638188458, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",0.4885,0.4786,0.6734,0.0099,0.9155,0.4899,0.0026,0.4838,0.0037,0.0061,0.7732,0.01,1766.2399,16.9305,0.7761,0.2404,0.4142,0.1545,0.8079,0.778,0.2616,0.4285,0.1574,0.8171
KNN,SMOTEENN,False,0.8402,"{""classifier__metric"": ""minkowski"", ""classifier__n_neighbors"": 1, ""classifier__p"": 1, ""classifier__weights"": ""uniform""}",0.9206,0.844,0.9648,0.0766,,0.9172,0.0026,0.8402,0.0048,0.077,0.9035,0.0128,1606.5342,11.2734,0.9813,0.6928,0.9183,0.6549,0.9728,0.9879,0.8411,0.9599,0.825,0.9891
KNN,RandomOverSampler,False,0.8827,"{""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 1, ""classifier__p"": 1, ""classifier__weights"": ""distance""}",1.0,0.8835,0.9762,0.1165,,1.0,0.0,0.8827,0.0098,0.1173,0.8673,0.0131,0.7946,0.1619,0.9876,0.7727,0.9319,0.7492,0.9759,1.0,1.0,1.0,1.0,1.0
KNN,SMOTE,False,0.8166,"{""classifier__metric"": ""minkowski"", ""classifier__n_neighbors"": 6, ""classifier__p"": 2, ""classifier__weights"": ""distance""}",1.0,0.8205,0.9566,0.1795,0.9579,1.0,0.0,0.8166,0.0041,0.1834,0.9059,0.0089,5.3283,1.0889,0.9767,0.6339,0.9077,0.6154,0.9688,1.0,1.0,1.0,1.0,1.0
KNN,ADASYN,False,0.8332,"{""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__p"": 1, ""classifier__weights"": ""uniform""}",0.933,0.8316,0.9608,0.1014,0.952,0.9314,0.0029,0.8332,0.0014,0.0981,0.9066,0.0102,19.6,1.0126,0.9789,0.6706,0.9116,0.6256,0.9713,0.99,0.8616,0.9671,0.8552,0.9909
KNN,SMOTETomek,False,0.8629,"{""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 2, ""classifier__p"": 2, ""classifier__weights"": ""distance""}",0.9998,0.8645,0.9724,0.1353,0.9476,1.0,0.0,0.8629,0.0074,0.137,0.8963,0.0152,1608.3904,6.7116,0.9858,0.7429,0.9304,0.6845,0.9788,1.0,0.9998,1.0,0.9992,1.0
RandomForest,SMOTEENN,False,0.8869,"{""classifier__n_estimators"": 100, ""classifier__min_samples_split"": 10, ""classifier__min_samples_leaf"": 1, ""classifier__max_features"": ""sqrt"", ""classifier__max_depth"": 20, ""classifier__criterion"": ""entropy"", ""classifier__class_weight"": null, ""classifier__bootstrap"": true}",0.9615,0.8839,0.9752,0.0776,0.9913,0.9606,0.002,0.8869,0.0054,0.0736,0.9023,0.0099,6426.6474,78.0353,0.9863,0.7749,0.9426,0.738,0.9775,0.9946,0.9222,0.9781,0.917,0.9955
RandomForest,RandomOverSampler,False,0.8799,"{""classifier__n_estimators"": 300, ""classifier__min_samples_split"": 2, ""classifier__min_samples_leaf"": 1, ""classifier__max_features"": ""sqrt"", ""classifier__max_depth"": 15, ""classifier__criterion"": ""entropy"", ""classifier__class_weight"": null, ""classifier__bootstrap"": true}",0.9664,0.875,0.9761,0.0914,0.9884,0.9706,0.0012,0.8799,0.0053,0.0907,0.8652,0.009,730.4237,25.7263,0.9866,0.7881,0.9458,0.6795,0.975,0.9981,0.9806,0.998,0.8552,1.0
RandomForest,SMOTE,False,0.8789,"{""classifier__n_estimators"": 300, ""classifier__min_samples_split"": 5, ""classifier__min_samples_leaf"": 1, ""classifier__max_features"": ""sqrt"", ""classifier__max_depth"": 20, ""classifier__criterion"": ""gini"", ""classifier__class_weight"": null, ""classifier__bootstrap"": true}",0.9572,0.8743,0.9763,0.0828,0.992,0.9607,0.0028,0.8789,0.0048,0.0818,0.8963,0.009,976.9414,94.7826,0.987,0.789,0.9526,0.6633,0.9796,0.9975,0.9756,0.9968,0.816,0.9998
RandomForest,ADASYN,False,0.8813,"{""classifier__n_estimators"": 300, ""classifier__min_samples_split"": 20, ""classifier__min_samples_leaf"": 8, ""classifier__max_features"": ""sqrt"", ""classifier__max_depth"": 20, ""classifier__criterion"": ""entropy"", ""classifier__class_weight"": ""balanced"", ""classifier__bootstrap"": true}",0.9744,0.8816,0.9727,0.0928,0.9922,0.9745,0.0017,0.8813,0.0081,0.0931,0.9066,0.0097,1608.9238,23.8915,0.9852,0.7515,0.9314,0.7656,0.9744,0.9958,0.9405,0.982,0.958,0.9954
RandomForest,SMOTETomek,False,0.8734,"{""classifier__n_estimators"": 200, ""classifier__min_samples_split"": 10, ""classifier__min_samples_leaf"": 4, ""classifier__max_features"": ""sqrt"", ""classifier__max_depth"": 20, ""classifier__criterion"": ""gini"", ""classifier__class_weight"": ""balanced"", ""classifier__bootstrap"": true}",0.9504,0.8697,0.9751,0.0807,0.9915,0.9532,0.0026,0.8734,0.0035,0.0797,0.8994,0.0099,2456.9361,73.2619,0.9864,0.7873,0.9473,0.6488,0.9787,0.9964,0.9634,0.9921,0.8015,0.9986
DecisionTree,SMOTEENN,False,0.7812,"{""classifier__splitter"": ""random"", ""classifier__min_samples_split"": 5, ""classifier__min_samples_leaf"": 2, ""classifier__max_features"": null, ""classifier__max_depth"": 30, ""classifier__criterion"": ""entropy"", ""classifier__class_weight"": null}",0.9387,0.7825,0.9419,0.1562,0.9313,0.9364,0.001,0.7812,0.0064,0.1552,0.8693,0.008,1635.3716,6.2771,0.9674,0.5736,0.8756,0.5507,0.9453,0.9909,0.8798,0.966,0.8674,0.9895
DecisionTree,RandomOverSampler,False,0.8194,"{""classifier__splitter"": ""random"", ""classifier__min_samples_split"": 20, ""classifier__min_samples_leaf"": 1, ""classifier__max_features"": null, ""classifier__max_depth"": null, ""classifier__criterion"": ""entropy"", ""classifier__class_weight"": ""balanced""}",0.9943,0.8184,0.9579,0.1758,0.8996,0.9943,0.0006,0.8194,0.0087,0.1749,0.8213,0.0162,18.717,0.4838,0.9768,0.6981,0.8761,0.5959,0.9452,0.9978,1.0,0.9837,1.0,0.9899
DecisionTree,SMOTE,False,0.7874,"{""classifier__splitter"": ""best"", ""classifier__min_samples_split"": 10, ""classifier__min_samples_leaf"": 2, ""classifier__max_features"": null, ""classifier__max_depth"": 30, ""classifier__criterion"": ""entropy"", ""classifier__class_weight"": null}",0.9837,0.7822,0.9444,0.2015,0.9184,0.9796,0.0023,0.7874,0.0108,0.1922,0.8539,0.0146,113.048,1.5931,0.9695,0.6072,0.8567,0.534,0.9439,0.9975,0.969,0.9856,0.9717,0.9948
DecisionTree,ADASYN,False,0.7704,"{""classifier__splitter"": ""best"", ""classifier__min_samples_split"": 5, ""classifier__min_samples_leaf"": 1, ""classifier__max_features"": null, ""classifier__max_depth"": 25, ""classifier__criterion"": ""entropy"", ""classifier__class_weight"": ""balanced""}",0.9937,0.7629,0.9375,0.2308,0.9104,0.9892,0.003,0.7704,0.0065,0.2188,0.8474,0.0074,151.7622,2.0956,0.9651,0.5853,0.8469,0.477,0.9402,0.9991,0.9853,0.9964,0.9907,0.9971
DecisionTree,SMOTETomek,False,0.7741,"{""classifier__splitter"": ""best"", ""classifier__min_samples_split"": 10, ""classifier__min_samples_leaf"": 8, ""classifier__max_features"": null, ""classifier__max_depth"": null, ""classifier__criterion"": ""entropy"", ""classifier__class_weight"": ""balanced""}",0.9275,0.7736,0.9377,0.1539,0.9322,0.9228,0.0019,0.7741,0.0085,0.1487,0.8608,0.0126,1814.5888,7.841,0.9652,0.5793,0.8437,0.5404,0.9392,0.9892,0.8677,0.9534,0.8463,0.9811
XGBoost,RandomOverSampler,False,0.9201,"{""classifier__subsample"": 1.0, ""classifier__reg_lambda"": 0.1, ""classifier__reg_alpha"": 0.1, ""classifier__n_estimators"": 500, ""classifier__min_child_weight"": 1, ""classifier__max_depth"": 7, ""classifier__learning_rate"": 0.1, ""classifier__gamma"": 0, ""classifier__colsample_bytree"": 1.0}",1.0,0.9236,0.9849,0.0764,0.9912,1.0,0.0,0.9201,0.0066,0.0799,0.8921,0.0094,1446.598,44.215,0.9922,0.8332,0.9601,0.8471,0.9856,1.0,1.0,1.0,1.0,1.0
XGBoost,SMOTE,False,0.9147,"{""classifier__subsample"": 0.8, ""classifier__reg_lambda"": 0.5, ""classifier__reg_alpha"": 1.0, ""classifier__n_estimators"": 500, ""classifier__min_child_weight"": 3, ""classifier__max_depth"": 7, ""classifier__learning_rate"": 0.1, ""classifier__gamma"": 0, ""classifier__colsample_bytree"": 0.8}",0.9979,0.9093,0.9816,0.0886,0.9887,0.9994,0.0001,0.9147,0.0048,0.0847,0.9117,0.0093,2195.7917,14.6194,0.9904,0.8085,0.9513,0.8121,0.9844,0.9997,0.9909,0.9999,0.9992,1.0
XGBoost,ADASYN,False,0.9142,"{""classifier__subsample"": 1.0, ""classifier__reg_lambda"": 1.0, ""classifier__reg_alpha"": 1.0, ""classifier__n_estimators"": 500, ""classifier__min_child_weight"": 3, ""classifier__max_depth"": 8, ""classifier__learning_rate"": 0.2, ""classifier__gamma"": 0, ""classifier__colsample_bytree"": 0.8}",1.0,0.9118,0.9823,0.0882,0.9904,1.0,0.0,0.9142,0.0052,0.0858,0.9115,0.0099,2250.9357,30.4146,0.9908,0.8289,0.9523,0.8036,0.9835,1.0,1.0,1.0,1.0,1.0
XGBoost,SMOTETomek,False,0.9107,"{""classifier__subsample"": 1.0, ""classifier__reg_lambda"": 0.1, ""classifier__reg_alpha"": 1.0, ""classifier__n_estimators"": 500, ""classifier__min_child_weight"": 1, ""classifier__max_depth"": 6, ""classifier__learning_rate"": 0.2, ""classifier__gamma"": 0.1, ""classifier__colsample_bytree"": 0.8}",0.9993,0.9112,0.9818,0.0881,0.9877,0.9993,0.0001,0.9107,0.0033,0.0886,0.9109,0.0087,3041.1188,60.7714,0.9906,0.8198,0.9507,0.8133,0.9816,0.9999,0.9982,0.9997,0.9984,1.0
XGBoost,SMOTEENN,False,0.8933,"{""classifier__subsample"": 0.8, ""classifier__reg_lambda"": 0, ""classifier__reg_alpha"": 0.1, ""classifier__n_estimators"": 200, ""classifier__min_child_weight"": 5, ""classifier__max_depth"": 8, ""classifier__learning_rate"": 0.2, ""classifier__gamma"": 0, ""classifier__colsample_bytree"": 0.9}",0.9596,0.8924,0.9765,0.0672,0.9892,0.9601,0.0015,0.8933,0.0044,0.0667,0.9168,0.009,2469.4211,34.5461,0.9873,0.7604,0.9476,0.7839,0.9829,0.9939,0.9051,0.9791,0.925,0.9951
LDA_svd,RandomOverSampler,False,0.5047,"{""classifier__tol"": 0.0001, ""classifier__store_covariance"": false, ""classifier__solver"": ""svd""}",0.5081,0.5058,0.7066,0.0023,0.901,0.5085,0.0032,0.5047,0.0043,0.0038,0.7601,0.0063,47.846,20.6672,0.8062,0.2346,0.4362,0.1487,0.9034,0.8008,0.2474,0.4405,0.1488,0.9031
LDA_svd,SMOTE,False,0.5047,"{""classifier__tol"": 0.0001, ""classifier__store_covariance"": false, ""classifier__solver"": ""svd""}",0.5084,0.5038,0.7022,0.0046,0.9009,0.509,0.0046,0.5047,0.0046,0.0043,0.762,0.0071,78.7588,0.6071,0.8024,0.2332,0.4307,0.1483,0.9042,0.7989,0.25,0.4395,0.1497,0.9037
LDA_svd,ADASYN,False,0.3384,"{""classifier__tol"": 0.0001, ""classifier__store_covariance"": false, ""classifier__solver"": ""svd""}",0.3335,0.3282,0.4373,0.0053,0.8531,0.3441,0.0023,0.3384,0.0035,0.0058,0.6512,0.0033,48.9405,15.8458,0.5469,0.1151,0.2715,0.1129,0.5945,0.55,0.124,0.2748,0.1149,0.6035
LDA_svd,SMOTETomek,False,0.5048,"{""classifier__tol"": 0.0001, ""classifier__store_covariance"": false, ""classifier__solver"": ""svd""}",0.5084,0.5038,0.7023,0.0046,0.9009,0.509,0.0046,0.5048,0.0046,0.0043,0.762,0.0071,905.1348,46.1918,0.8025,0.2333,0.4307,0.1483,0.9042,0.7989,0.25,0.4395,0.1497,0.9037
LDA_svd,SMOTEENN,False,0.5008,"{""classifier__tol"": 0.0001, ""classifier__store_covariance"": false, ""classifier__solver"": ""svd""}",0.5049,0.5003,0.6953,0.0045,0.901,0.5053,0.0044,0.5008,0.0045,0.0044,0.7611,0.0068,882.2565,30.5494,0.7966,0.2309,0.4255,0.1462,0.9025,0.7932,0.2467,0.4344,0.1477,0.9023
LDA_lsqr,RandomOverSampler,False,0.5047,"{""classifier__tol"": 0.0001, ""classifier__solver"": ""lsqr"", ""classifier__shrinkage"": null}",0.5081,0.5058,0.7066,0.0023,0.901,0.5085,0.0032,0.5047,0.0043,0.0038,0.7601,0.0063,5.8537,0.5894,0.8062,0.2346,0.4362,0.1487,0.9034,0.8008,0.2474,0.4405,0.1488,0.9031
LDA_lsqr,SMOTE,False,0.5047,"{""classifier__tol"": 0.01, ""classifier__solver"": ""eigen"", ""classifier__shrinkage"": 0.0}",0.5084,0.5038,0.7022,0.0046,0.9009,0.509,0.0046,0.5047,0.0046,0.0043,0.762,0.0071,14.7547,0.2047,0.8024,0.2332,0.4307,0.1483,0.9042,0.7989,0.25,0.4395,0.1497,0.9037
LDA_lsqr,ADASYN,False,0.3384,"{""classifier__tol"": 0.001, ""classifier__solver"": ""lsqr"", ""classifier__shrinkage"": 0.0}",0.3335,0.3282,0.4373,0.0053,0.8531,0.3441,0.0023,0.3384,0.0035,0.0058,0.6512,0.0033,24.148,0.6046,0.5469,0.1151,0.2715,0.1129,0.5945,0.55,0.124,0.2748,0.1149,0.6035
LDA_lsqr,SMOTETomek,False,0.5048,"{""classifier__tol"": 0.01, ""classifier__solver"": ""lsqr"", ""classifier__shrinkage"": 0.0}",0.5084,0.5038,0.7023,0.0046,0.9009,0.509,0.0046,0.5048,0.0046,0.0043,0.762,0.0071,1117.6978,2.5179,0.8025,0.2333,0.4307,0.1483,0.9042,0.7989,0.25,0.4395,0.1497,0.9037
LDA_lsqr,SMOTEENN,False,0.5008,"{""classifier__tol"": 0.01, ""classifier__solver"": ""lsqr"", ""classifier__shrinkage"": 0.0}",0.5049,0.5003,0.6953,0.0045,0.901,0.5053,0.0044,0.5008,0.0045,0.0044,0.7611,0.0068,1123.6025,7.5392,0.7966,0.2309,0.4255,0.1462,0.9025,0.7932,0.2467,0.4344,0.1477,0.9023
ANN,RandomOverSampler,False,0.8861,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.0031566938490132134, ""classifier__batch_size"": 81, ""classifier__beta_1"": 0.9402671130141109, ""classifier__beta_2"": 0.9760982460562961, ""classifier__hidden_layer_sizes"": [128, 64], ""classifier__learning_rate_init"": 0.0012731194893838976, ""classifier__validation_fraction"": 0.1}",0.9278,0.8603,0.9667,0.0674,0.9876,0.9623,0.0064,0.8861,0.0038,0.0762,0.9097,0.0065,259.3705,64.8879,0.9819,0.6833,0.9277,0.7332,0.9757,0.9887,0.8314,0.9634,0.8674,0.9881
ANN,SMOTE,False,0.8818,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.0006974696583264409, ""classifier__batch_size"": 102, ""classifier__beta_1"": 0.9409629316532541, ""classifier__beta_2"": 0.9755992942274873, ""classifier__hidden_layer_sizes"": [128, 64], ""classifier__learning_rate_init"": 0.0010889492364376551, ""classifier__validation_fraction"": 0.1}",0.9661,0.8846,0.9773,0.0815,0.9841,0.9714,0.0043,0.8818,0.0032,0.0896,0.8942,0.0076,334.2214,24.1809,0.9885,0.7843,0.9374,0.7309,0.9818,0.9961,0.942,0.9842,0.9122,0.9961
ANN,ADASYN,False,0.8718,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.0009443704458686746, ""classifier__batch_size"": 119, ""classifier__beta_1"": 0.9041850527796059, ""classifier__beta_2"": 0.9803652725697714, ""classifier__hidden_layer_sizes"": [128, 64], ""classifier__learning_rate_init"": 0.0013779877954006405, ""classifier__validation_fraction"": 0.15}",0.9563,0.8632,0.9699,0.0931,0.9817,0.9696,0.0038,0.8718,0.0069,0.0979,0.8858,0.0104,281.4999,59.4844,0.9842,0.7464,0.9121,0.6959,0.9774,0.9936,0.9137,0.9712,0.9078,0.9953
ANN,SMOTETomek,False,0.88,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.00012114727134318425, ""classifier__batch_size"": 128, ""classifier__beta_1"": 0.9280677472125195, ""classifier__beta_2"": 0.9879255775294853, ""classifier__hidden_layer_sizes"": [128, 64], ""classifier__learning_rate_init"": 0.0016588432457626094, ""classifier__validation_fraction"": 0.15}",0.9732,0.8818,0.9767,0.0914,0.9839,0.9714,0.0086,0.88,0.0071,0.0914,0.8951,0.007,1199.421,20.907,0.9881,0.7667,0.9425,0.7331,0.9787,0.9965,0.9533,0.9867,0.9348,0.9946
ANN,SMOTEENN,False,0.8567,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.0002566611986222392, ""classifier__batch_size"": 71, ""classifier__beta_1"": 0.9167522307978013, ""classifier__beta_2"": 0.9662466702542925, ""classifier__hidden_layer_sizes"": [128, 64], ""classifier__learning_rate_init"": 0.0010784738624143148, ""classifier__validation_fraction"": 0.15}",0.9142,0.8542,0.966,0.06,0.9834,0.9312,0.0087,0.8567,0.0117,0.0745,0.8948,0.0083,1346.1526,18.3066,0.9814,0.7003,0.927,0.6943,0.9682,0.9879,0.8428,0.9615,0.7968,0.9821
